"Step","Proposed_Uniform - rollout/success_rate","Proposed_Uniform - rollout/success_rate__MIN","Proposed_Uniform - rollout/success_rate__MAX","Prior_Uniform - rollout/success_rate","Prior_Uniform - rollout/success_rate__MIN","Prior_Uniform - rollout/success_rate__MAX","Prior_Strong - rollout/success_rate","Prior_Strong - rollout/success_rate__MIN","Prior_Strong - rollout/success_rate__MAX","Proposed_hard - rollout/success_rate","Proposed_hard - rollout/success_rate__MIN","Proposed_hard - rollout/success_rate__MAX","Proposed_medium2 - rollout/success_rate","Proposed_medium2 - rollout/success_rate__MIN","Proposed_medium2 - rollout/success_rate__MAX","Prior_medium2 - rollout/success_rate","Prior_medium2 - rollout/success_rate__MIN","Prior_medium2 - rollout/success_rate__MAX"
"680","","","","","","","","","","0.15","0.15","0.15","","","","","",""
"684","","","","","","","0.31","0.31","0.31","","","","","","","","",""
"690","0.29","0.29","0.29","0.24","0.24","0.24","","","","","","","","","","","",""
"692","","","","","","","","","","","","","","","","0.18","0.18","0.18"
"694","","","","","","","","","","0.16","0.16","0.16","","","","","",""
"697","","","","","","","","","","","","","0.14","0.14","0.14","","",""
"698","","","","","","","0.31","0.31","0.31","","","","","","","","",""
"704","0.27","0.27","0.27","0.24","0.24","0.24","","","","","","","","","","","",""
"706","","","","","","","","","","","","","","","","0.19","0.19","0.19"
"708","","","","","","","","","","0.16","0.16","0.16","","","","","",""
"712","","","","","","","0.31","0.31","0.31","","","","","","","","",""
"718","0.25","0.25","0.25","0.25","0.25","0.25","","","","","","","","","","","",""
"720","","","","","","","","","","","","","","","","0.2","0.2","0.2"
"722","","","","","","","","","","0.17","0.17","0.17","","","","","",""
"724","","","","","","","","","","","","","0.16","0.16","0.16","","",""
"726","","","","","","","0.3","0.3","0.3","","","","","","","","",""
"732","","","","0.28","0.28","0.28","","","","","","","","","","","",""
"734","","","","","","","","","","","","","","","","0.22","0.22","0.22"
"738","","","","","","","","","","","","","0.16","0.16","0.16","","",""
"748","","","","","","","","","","","","","","","","0.21","0.21","0.21"
"752","","","","","","","","","","","","","0.17","0.17","0.17","","",""
"754","0.26","0.26","0.26","","","","","","","","","","","","","","",""
"758","","","","","","","","","","0.16","0.16","0.16","","","","","",""
"762","","","","","","","","","","","","","","","","0.23","0.23","0.23"
"766","","","","","","","0.29","0.29","0.29","","","","0.18","0.18","0.18","","",""
"768","0.26","0.26","0.26","","","","","","","","","","","","","","",""
"772","","","","0.28","0.28","0.28","","","","0.15","0.15","0.15","","","","","",""
"776","","","","","","","","","","","","","","","","0.25","0.25","0.25"
"780","","","","","","","0.29","0.29","0.29","","","","0.2","0.2","0.2","","",""
"782","0.27","0.27","0.27","","","","","","","","","","","","","","",""
"786","","","","0.26","0.26","0.26","","","","0.14","0.14","0.14","","","","","",""
"794","","","","","","","0.31","0.31","0.31","","","","","","","","",""
"796","0.28","0.28","0.28","","","","","","","","","","","","","","",""
"800","","","","0.26","0.26","0.26","","","","0.15","0.15","0.15","","","","","",""
"808","","","","","","","0.32","0.32","0.32","","","","","","","0.23","0.23","0.23"
"810","0.28","0.28","0.28","","","","","","","","","","","","","","",""
"814","","","","0.27","0.27","0.27","","","","0.15","0.15","0.15","","","","","",""
"816","","","","","","","","","","","","","0.21","0.21","0.21","","",""
"822","","","","","","","0.31","0.31","0.31","","","","","","","0.22","0.22","0.22"
"824","0.31","0.31","0.31","","","","","","","","","","","","","","",""
"828","","","","0.28","0.28","0.28","","","","0.15","0.15","0.15","","","","","",""
"830","","","","","","","","","","","","","0.23","0.23","0.23","","",""
"836","","","","","","","0.33","0.33","0.33","","","","","","","0.23","0.23","0.23"
"838","0.3","0.3","0.3","","","","","","","","","","","","","","",""
"842","","","","0.29","0.29","0.29","","","","","","","","","","","",""
"844","","","","","","","","","","","","","0.23","0.23","0.23","","",""
"850","","","","","","","0.33","0.33","0.33","","","","","","","0.24","0.24","0.24"
"856","","","","0.27","0.27","0.27","","","","","","","","","","","",""
"858","","","","","","","","","","","","","0.22","0.22","0.22","","",""
"860","","","","","","","","","","0.15","0.15","0.15","","","","","",""
"864","","","","","","","0.34","0.34","0.34","","","","","","","0.24","0.24","0.24"
"870","","","","0.26","0.26","0.26","","","","","","","","","","","",""
"872","","","","","","","","","","","","","0.24","0.24","0.24","","",""
"874","","","","","","","","","","0.15","0.15","0.15","","","","","",""
"878","0.31","0.31","0.31","","","","0.34","0.34","0.34","","","","","","","0.25","0.25","0.25"
"884","","","","0.28","0.28","0.28","","","","","","","","","","","",""
"888","","","","","","","","","","0.16","0.16","0.16","","","","","",""
"892","0.32","0.32","0.32","","","","0.34","0.34","0.34","","","","","","","0.27","0.27","0.27"
"898","","","","0.27","0.27","0.27","","","","","","","","","","","",""
"902","","","","","","","","","","0.18","0.18","0.18","","","","","",""
"906","0.29","0.29","0.29","","","","","","","","","","","","","0.28","0.28","0.28"
"912","","","","","","","","","","","","","0.23","0.23","0.23","","",""
"916","","","","","","","","","","0.17","0.17","0.17","","","","","",""
"917","","","","0.28","0.28","0.28","","","","","","","","","","","",""
"919","","","","","","","0.32","0.32","0.32","","","","","","","","",""
"920","0.29","0.29","0.29","","","","","","","","","","","","","0.28","0.28","0.28"
"926","","","","","","","","","","","","","0.23","0.23","0.23","","",""
"931","","","","0.28","0.28","0.28","","","","","","","","","","","",""
"933","","","","","","","0.31","0.31","0.31","","","","","","","","",""
"934","0.29","0.29","0.29","","","","","","","","","","","","","0.29","0.29","0.29"
"940","","","","","","","","","","","","","0.23","0.23","0.23","","",""
"945","","","","0.27","0.27","0.27","","","","","","","","","","","",""
"948","0.29","0.29","0.29","","","","","","","","","","","","","","",""
"952","","","","","","","","","","0.17","0.17","0.17","","","","","",""
"954","","","","","","","","","","","","","0.25","0.25","0.25","","",""
"961","","","","","","","","","","","","","","","","0.3","0.3","0.3"
"962","0.3","0.3","0.3","","","","","","","","","","","","","","",""
"966","","","","","","","","","","0.18","0.18","0.18","","","","","",""
"968","","","","","","","","","","","","","0.28","0.28","0.28","","",""
"969","","","","","","","0.3","0.3","0.3","","","","","","","","",""
"973","","","","0.29","0.29","0.29","","","","","","","","","","","",""
"980","","","","","","","","","","0.16","0.16","0.16","","","","","",""
"982","","","","","","","","","","","","","0.29","0.29","0.29","","",""
"983","","","","","","","0.29","0.29","0.29","","","","","","","","",""
"987","","","","0.31","0.31","0.31","","","","","","","","","","","",""
"990","0.31","0.31","0.31","","","","","","","","","","","","","","",""
"996","","","","","","","","","","","","","0.28","0.28","0.28","","",""
"997","","","","","","","0.28","0.28","0.28","","","","","","","0.29","0.29","0.29"
"1001","","","","0.3","0.3","0.3","","","","","","","","","","","",""
"1004","0.34","0.34","0.34","","","","","","","","","","","","","","",""
"1007","","","","","","","","","","0.16","0.16","0.16","","","","","",""
"1011","","","","","","","0.27","0.27","0.27","","","","","","","0.29","0.29","0.29"
"1015","","","","0.29","0.29","0.29","","","","","","","","","","","",""
"1018","0.32","0.32","0.32","","","","","","","","","","","","","","",""
"1021","","","","","","","","","","0.17","0.17","0.17","","","","","",""
"1024","","","","","","","","","","","","","0.27","0.27","0.27","","",""
"1025","","","","","","","0.28","0.28","0.28","","","","","","","0.28","0.28","0.28"
"1029","","","","0.27","0.27","0.27","","","","","","","","","","","",""
"1032","0.32","0.32","0.32","","","","","","","","","","","","","","",""
"1038","","","","","","","","","","","","","0.27","0.27","0.27","","",""
"1039","","","","","","","0.26","0.26","0.26","","","","","","","0.29","0.29","0.29"
"1043","","","","0.29","0.29","0.29","","","","","","","","","","","",""
"1052","","","","","","","","","","","","","0.28","0.28","0.28","","",""
"1053","","","","","","","0.25","0.25","0.25","","","","","","","0.3","0.3","0.3"
"1057","","","","0.27","0.27","0.27","","","","0.17","0.17","0.17","","","","","",""
"1059","0.33","0.33","0.33","","","","","","","","","","","","","","",""
"1061","","","","","","","","","","0.17","0.17","0.17","","","","","",""
"1067","","","","","","","0.25","0.25","0.25","","","","","","","0.31","0.31","0.31"
"1071","","","","0.29","0.29","0.29","","","","","","","","","","","",""
"1075","","","","","","","","","","0.18","0.18","0.18","","","","","",""
"1079","","","","","","","","","","","","","0.28","0.28","0.28","","",""
"1081","","","","","","","","","","","","","","","","0.31","0.31","0.31"
"1089","","","","","","","","","","0.18","0.18","0.18","","","","","",""
"1090","","","","0.28","0.28","0.28","","","","","","","","","","","",""
"1093","","","","","","","","","","","","","0.29","0.29","0.29","","",""
"1094","","","","","","","0.26","0.26","0.26","","","","","","","","",""
"1095","0.32","0.32","0.32","","","","","","","","","","","","","0.32","0.32","0.32"
"1103","","","","","","","","","","0.18","0.18","0.18","","","","","",""
"1104","","","","0.29","0.29","0.29","","","","","","","","","","","",""
"1107","","","","","","","","","","","","","0.29","0.29","0.29","","",""
"1108","","","","","","","0.27","0.27","0.27","","","","","","","","",""
"1109","0.32","0.32","0.32","","","","","","","","","","","","","0.32","0.32","0.32"
"1117","","","","","","","","","","0.18","0.18","0.18","","","","","",""
"1118","","","","0.28","0.28","0.28","","","","","","","","","","","",""
"1122","","","","","","","0.26","0.26","0.26","","","","","","","","",""
"1123","0.33","0.33","0.33","","","","","","","","","","","","","0.33","0.33","0.33"
"1137","0.34","0.34","0.34","","","","","","","","","","","","","","",""
"1142","","","","","","","","","","","","","","","","0.33","0.33","0.33"
"1143","","","","","","","","","","","","","0.3","0.3","0.3","","",""
"1151","0.36","0.36","0.36","","","","","","","","","","","","","","",""
"1153","","","","","","","","","","0.18","0.18","0.18","","","","","",""
"1154","","","","0.26","0.26","0.26","","","","","","","","","","","",""
"1156","","","","","","","","","","","","","","","","0.35","0.35","0.35"
"1157","","","","","","","","","","","","","0.28","0.28","0.28","","",""
