"Step","Proposed_Uniform - rollout/ep_rew_mean","Proposed_Uniform - rollout/ep_rew_mean__MIN","Proposed_Uniform - rollout/ep_rew_mean__MAX","Prior_Uniform - rollout/ep_rew_mean","Prior_Uniform - rollout/ep_rew_mean__MIN","Prior_Uniform - rollout/ep_rew_mean__MAX","Prior_Strong - rollout/ep_rew_mean","Prior_Strong - rollout/ep_rew_mean__MIN","Prior_Strong - rollout/ep_rew_mean__MAX","Proposed_hard - rollout/ep_rew_mean","Proposed_hard - rollout/ep_rew_mean__MIN","Proposed_hard - rollout/ep_rew_mean__MAX","Proposed_medium2 - rollout/ep_rew_mean","Proposed_medium2 - rollout/ep_rew_mean__MIN","Proposed_medium2 - rollout/ep_rew_mean__MAX","Prior_medium2 - rollout/ep_rew_mean","Prior_medium2 - rollout/ep_rew_mean__MIN","Prior_medium2 - rollout/ep_rew_mean__MAX"
"757","","","","","","","","","","-120.2619","-120.2619","-120.2619","","","","","",""
"761","","","","","","","","","","","","","","","","-69.76126","-69.76126","-69.76126"
"765","","","","","","","-59.688755","-59.688755","-59.688755","","","","-93.896965","-93.896965","-93.896965","","",""
"767","-62.900597","-62.900597","-62.900597","","","","","","","","","","","","","","",""
"771","","","","-60.613167","-60.613167","-60.613167","","","","-121.20961","-121.20961","-121.20961","","","","","",""
"775","","","","","","","","","","","","","","","","-64.626724","-64.626724","-64.626724"
"779","","","","","","","-59.702038","-59.702038","-59.702038","","","","-88.717834","-88.717834","-88.717834","","",""
"781","-60.104076","-60.104076","-60.104076","","","","","","","","","","","","","","",""
"785","","","","-62.7238","-62.7238","-62.7238","","","","-122.52708","-122.52708","-122.52708","","","","","",""
"793","","","","","","","-56.16549","-56.16549","-56.16549","","","","","","","","",""
"795","-54.1667","-54.1667","-54.1667","","","","","","","","","","","","","","",""
"799","","","","-60.321182","-60.321182","-60.321182","","","","-115.06811","-115.06811","-115.06811","","","","","",""
"807","","","","","","","-51.947796","-51.947796","-51.947796","","","","","","","-68.61415","-68.61415","-68.61415"
"809","-54.090515","-54.090515","-54.090515","","","","","","","","","","","","","","",""
"813","","","","-56.832504","-56.832504","-56.832504","","","","-116.88952","-116.88952","-116.88952","","","","","",""
"815","","","","","","","","","","","","","-88.406006","-88.406006","-88.406006","","",""
"821","","","","","","","-55.15232","-55.15232","-55.15232","","","","","","","-67.91837","-67.91837","-67.91837"
"823","-46.790802","-46.790802","-46.790802","","","","","","","","","","","","","","",""
"827","","","","-54.61128","-54.61128","-54.61128","","","","-116.00292","-116.00292","-116.00292","","","","","",""
"829","","","","","","","","","","","","","-84.07463","-84.07463","-84.07463","","",""
"835","","","","","","","-50.483585","-50.483585","-50.483585","","","","","","","-65.189026","-65.189026","-65.189026"
"837","-45.81551","-45.81551","-45.81551","","","","","","","","","","","","","","",""
"841","","","","-50.828903","-50.828903","-50.828903","","","","","","","","","","","",""
"843","","","","","","","","","","","","","-85.39914","-85.39914","-85.39914","","",""
"849","","","","","","","-48.861122","-48.861122","-48.861122","","","","","","","-61.112473","-61.112473","-61.112473"
"855","","","","-55.495922","-55.495922","-55.495922","","","","","","","","","","","",""
"857","","","","","","","","","","","","","-91.01978","-91.01978","-91.01978","","",""
"859","","","","","","","","","","-115.40423","-115.40423","-115.40423","","","","","",""
"863","","","","","","","-45.5383","-45.5383","-45.5383","","","","","","","-61.170567","-61.170567","-61.170567"
"869","","","","-57.67655","-57.67655","-57.67655","","","","","","","","","","","",""
"871","","","","","","","","","","","","","-88.01773","-88.01773","-88.01773","","",""
"873","","","","","","","","","","-116.07835","-116.07835","-116.07835","","","","","",""
"877","-43.933914","-43.933914","-43.933914","","","","-44.67516","-44.67516","-44.67516","","","","","","","-59.12183","-59.12183","-59.12183"
"883","","","","-51.242878","-51.242878","-51.242878","","","","","","","","","","","",""
"887","","","","","","","","","","-110.75298","-110.75298","-110.75298","","","","","",""
"891","-41.571594","-41.571594","-41.571594","","","","-45.132668","-45.132668","-45.132668","","","","","","","-54.381687","-54.381687","-54.381687"
"897","","","","-52.33333","-52.33333","-52.33333","","","","","","","","","","","",""
"901","","","","","","","","","","-103.67871","-103.67871","-103.67871","","","","","",""
"905","-49.784447","-49.784447","-49.784447","","","","","","","","","","","","","-52.277187","-52.277187","-52.277187"
"911","","","","","","","","","","","","","-91.63211","-91.63211","-91.63211","","",""
"915","","","","","","","","","","-104.424545","-104.424545","-104.424545","","","","","",""
"916","","","","-51.137325","-51.137325","-51.137325","","","","","","","","","","","",""
"918","","","","","","","-49.507202","-49.507202","-49.507202","","","","","","","","",""
"919","-49.1371","-49.1371","-49.1371","","","","","","","","","","","","","-52.680748","-52.680748","-52.680748"
"925","","","","","","","","","","","","","-95.90793","-95.90793","-95.90793","","",""
"930","","","","-51.23499","-51.23499","-51.23499","","","","","","","","","","","",""
"932","","","","","","","-50.37893","-50.37893","-50.37893","","","","","","","","",""
"933","-48.202934","-48.202934","-48.202934","","","","","","","","","","","","","-50.217834","-50.217834","-50.217834"
"939","","","","","","","","","","","","","-95.44491","-95.44491","-95.44491","","",""
"944","","","","-53.437195","-53.437195","-53.437195","","","","","","","","","","","",""
"947","-48.18498","-48.18498","-48.18498","","","","","","","","","","","","","","",""
"951","","","","","","","","","","-105.35364","-105.35364","-105.35364","","","","","",""
"953","","","","","","","","","","","","","-90.03385","-90.03385","-90.03385","","",""
"960","","","","","","","","","","","","","","","","-48.058884","-48.058884","-48.058884"
"961","-45.188572","-45.188572","-45.188572","","","","","","","","","","","","","","",""
"965","","","","","","","","","","-103.48205","-103.48205","-103.48205","","","","","",""
"967","","","","","","","","","","","","","-83.17006","-83.17006","-83.17006","","",""
"968","","","","","","","-53.130833","-53.130833","-53.130833","","","","","","","","",""
"972","","","","-46.832035","-46.832035","-46.832035","","","","","","","","","","","",""
"979","","","","","","","","","","-107.744446","-107.744446","-107.744446","","","","","",""
"981","","","","","","","","","","","","","-82.30704","-82.30704","-82.30704","","",""
"982","","","","","","","-56.900387","-56.900387","-56.900387","","","","","","","","",""
"986","","","","-40.813564","-40.813564","-40.813564","","","","","","","","","","","",""
"989","-49.639076","-49.639076","-49.639076","","","","","","","","","","","","","","",""
"995","","","","","","","","","","","","","-86.66187","-86.66187","-86.66187","","",""
"996","","","","","","","-56.08421","-56.08421","-56.08421","","","","","","","-50.983307","-50.983307","-50.983307"
"1000","","","","-43.554058","-43.554058","-43.554058","","","","","","","","","","","",""
"1003","-41.650482","-41.650482","-41.650482","","","","","","","","","","","","","","",""
"1006","","","","","","","","","","-107.449326","-107.449326","-107.449326","","","","","",""
"1010","","","","","","","-59.157513","-59.157513","-59.157513","","","","","","","-49.948055","-49.948055","-49.948055"
"1014","","","","-46.13969","-46.13969","-46.13969","","","","","","","","","","","",""
"1017","-51.69205","-51.69205","-51.69205","","","","","","","","","","","","","","",""
