"Step","Proposed_Uniform - rollout/ep_len_mean","Proposed_Uniform - rollout/ep_len_mean__MIN","Proposed_Uniform - rollout/ep_len_mean__MAX","Prior_Uniform - rollout/ep_len_mean","Prior_Uniform - rollout/ep_len_mean__MIN","Prior_Uniform - rollout/ep_len_mean__MAX","Prior_Strong - rollout/ep_len_mean","Prior_Strong - rollout/ep_len_mean__MIN","Prior_Strong - rollout/ep_len_mean__MAX","Proposed_hard - rollout/ep_len_mean","Proposed_hard - rollout/ep_len_mean__MIN","Proposed_hard - rollout/ep_len_mean__MAX","Proposed_medium2 - rollout/ep_len_mean","Proposed_medium2 - rollout/ep_len_mean__MIN","Proposed_medium2 - rollout/ep_len_mean__MAX","Prior_medium2 - rollout/ep_len_mean","Prior_medium2 - rollout/ep_len_mean__MIN","Prior_medium2 - rollout/ep_len_mean__MAX"
"822","608.67","608.67","608.67","","","","","","","","","","","","","","",""
"826","","","","617.53","617.53","617.53","","","","693.15","693.15","693.15","","","","","",""
"828","","","","","","","","","","","","","640.96","640.96","640.96","","",""
"834","","","","","","","626.51","626.51","626.51","","","","","","","644.16","644.16","644.16"
"836","609.85","609.85","609.85","","","","","","","","","","","","","","",""
"840","","","","616.66","616.66","616.66","","","","","","","","","","","",""
"842","","","","","","","","","","","","","642.73","642.73","642.73","","",""
"848","","","","","","","626.98","626.98","626.98","","","","","","","641.75","641.75","641.75"
"854","","","","627.64","627.64","627.64","","","","","","","","","","","",""
"856","","","","","","","","","","","","","654.56","654.56","654.56","","",""
"858","","","","","","","","","","693.15","693.15","693.15","","","","","",""
"862","","","","","","","618.04","618.04","618.04","","","","","","","641.75","641.75","641.75"
"868","","","","632.55","632.55","632.55","","","","","","","","","","","",""
"870","","","","","","","","","","","","","647.53","647.53","647.53","","",""
"872","","","","","","","","","","693.15","693.15","693.15","","","","","",""
"876","611.22","611.22","611.22","","","","618.04","618.04","618.04","","","","","","","641.19","641.19","641.19"
"882","","","","622.43","622.43","622.43","","","","","","","","","","","",""
"886","","","","","","","","","","688.66","688.66","688.66","","","","","",""
"890","606.26","606.26","606.26","","","","618.04","618.04","618.04","","","","","","","635.91","635.91","635.91"
"896","","","","627.25","627.25","627.25","","","","","","","","","","","",""
"900","","","","","","","","","","683.03","683.03","683.03","","","","","",""
"904","624.46","624.46","624.46","","","","","","","","","","","","","634.14","634.14","634.14"
"910","","","","","","","","","","","","","651.17","651.17","651.17","","",""
"914","","","","","","","","","","688.36","688.36","688.36","","","","","",""
"915","","","","627.03","627.03","627.03","","","","","","","","","","","",""
"917","","","","","","","627.91","627.91","627.91","","","","","","","","",""
"918","620.02","620.02","620.02","","","","","","","","","","","","","639.92","639.92","639.92"
"924","","","","","","","","","","","","","651.17","651.17","651.17","","",""
"929","","","","628.5","628.5","628.5","","","","","","","","","","","",""
"931","","","","","","","623.58","623.58","623.58","","","","","","","","",""
"932","616.63","616.63","616.63","","","","","","","","","","","","","632.92","632.92","632.92"
"938","","","","","","","","","","","","","651.17","651.17","651.17","","",""
"943","","","","631.77","631.77","631.77","","","","","","","","","","","",""
"946","616.92","616.92","616.92","","","","","","","","","","","","","","",""
"950","","","","","","","","","","688.63","688.63","688.63","","","","","",""
"952","","","","","","","","","","","","","639.84","639.84","639.84","","",""
"959","","","","","","","","","","","","","","","","629.03","629.03","629.03"
"960","612.59","612.59","612.59","","","","","","","","","","","","","","",""
"964","","","","","","","","","","686.31","686.31","686.31","","","","","",""
"966","","","","","","","","","","","","","631.09","631.09","631.09","","",""
"967","","","","","","","630.75","630.75","630.75","","","","","","","","",""
"971","","","","623.22","623.22","623.22","","","","","","","","","","","",""
"978","","","","","","","","","","695.08","695.08","695.08","","","","","",""
"980","","","","","","","","","","","","","624.01","624.01","624.01","","",""
"981","","","","","","","636.6","636.6","636.6","","","","","","","","",""
"985","","","","621.58","621.58","621.58","","","","","","","","","","","",""
"988","608.83","608.83","608.83","","","","","","","","","","","","","","",""
"994","","","","","","","","","","","","","630.74","630.74","630.74","","",""
"995","","","","","","","638.39","638.39","638.39","","","","","","","635.26","635.26","635.26"
"999","","","","622.69","622.69","622.69","","","","","","","","","","","",""
"1002","595.14","595.14","595.14","","","","","","","","","","","","","","",""
"1005","","","","","","","","","","695.08","695.08","695.08","","","","","",""
"1009","","","","","","","649.28","649.28","649.28","","","","","","","635.26","635.26","635.26"
"1013","","","","624.63","624.63","624.63","","","","","","","","","","","",""
"1016","606.99","606.99","606.99","","","","","","","","","","","","","","",""
"1019","","","","","","","","","","692.56","692.56","692.56","","","","","",""
"1022","","","","","","","","","","","","","638.92","638.92","638.92","","",""
"1023","","","","","","","645.53","645.53","645.53","","","","","","","630.74","630.74","630.74"
"1027","","","","631.22","631.22","631.22","","","","","","","","","","","",""
"1030","612.49","612.49","612.49","","","","","","","","","","","","","","",""
"1036","","","","","","","","","","","","","638.92","638.92","638.92","","",""
"1037","","","","","","","644.87","644.87","644.87","","","","","","","625.21","625.21","625.21"
"1041","","","","627.41","627.41","627.41","","","","","","","","","","","",""
"1050","","","","","","","","","","","","","632.91","632.91","632.91","","",""
"1051","","","","","","","648.74","648.74","648.74","","","","","","","618.96","618.96","618.96"
"1055","","","","639.26","639.26","639.26","","","","697.89","697.89","697.89","","","","","",""
"1057","602.88","602.88","602.88","","","","","","","","","","","","","","",""
"1059","","","","","","","","","","697.55","697.55","697.55","","","","","",""
"1065","","","","","","","649.78","649.78","649.78","","","","","","","619.34","619.34","619.34"
"1069","","","","630.42","630.42","630.42","","","","","","","","","","","",""
"1073","","","","","","","","","","692.98","692.98","692.98","","","","","",""
"1077","","","","","","","","","","","","","633.19","633.19","633.19","","",""
"1079","","","","","","","","","","","","","","","","618.25","618.25","618.25"
"1087","","","","","","","","","","692.98","692.98","692.98","","","","","",""
"1088","","","","635.71","635.71","635.71","","","","","","","","","","","",""
"1091","","","","","","","","","","","","","623.77","623.77","623.77","","",""
"1092","","","","","","","646.71","646.71","646.71","","","","","","","","",""
"1093","596.98","596.98","596.98","","","","","","","","","","","","","620.09","620.09","620.09"
"1101","","","","","","","","","","695.34","695.34","695.34","","","","","",""
"1102","","","","633.53","633.53","633.53","","","","","","","","","","","",""
"1105","","","","","","","","","","","","","623.77","623.77","623.77","","",""
"1106","","","","","","","646.44","646.44","646.44","","","","","","","","",""
"1107","596.98","596.98","596.98","","","","","","","","","","","","","617.06","617.06","617.06"
"1115","","","","","","","","","","688.15","688.15","688.15","","","","","",""
"1116","","","","638.68","638.68","638.68","","","","","","","","","","","",""
"1120","","","","","","","648.6","648.6","648.6","","","","","","","","",""
"1121","588.84","588.84","588.84","","","","","","","","","","","","","613.93","613.93","613.93"
"1135","586.35","586.35","586.35","","","","","","","","","","","","","","",""
"1140","","","","","","","","","","","","","","","","612.4","612.4","612.4"
"1141","","","","","","","","","","","","","618.24","618.24","618.24","","",""
"1149","576.26","576.26","576.26","","","","","","","","","","","","","","",""
"1151","","","","","","","","","","686.05","686.05","686.05","","","","","",""
"1152","","","","650.54","650.54","650.54","","","","","","","","","","","",""
"1154","","","","","","","","","","","","","","","","602.53","602.53","602.53"
"1155","","","","","","","","","","","","","628","628","628","","",""
"1156","","","","","","","649.36","649.36","649.36","","","","","","","","",""
"1163","576.04","576.04","576.04","","","","","","","","","","","","","","",""
"1165","","","","","","","","","","674.78","674.78","674.78","","","","","",""
"1166","","","","643.97","643.97","643.97","","","","","","","","","","","",""
"1168","","","","","","","","","","","","","","","","609.78","609.78","609.78"
"1169","","","","","","","","","","","","","630.46","630.46","630.46","","",""
"1170","","","","","","","646.65","646.65","646.65","","","","","","","","",""
"1177","580.36","580.36","580.36","","","","","","","","","","","","","","",""
"1180","","","","643.97","643.97","643.97","","","","","","","","","","","",""
"1182","","","","","","","","","","","","","","","","606.08","606.08","606.08"
"1183","","","","","","","","","","","","","634.83","634.83","634.83","","",""
"1184","","","","","","","646.86","646.86","646.86","","","","","","","","",""
"1192","","","","","","","","","","668.06","668.06","668.06","","","","","",""
"1194","","","","649.52","649.52","649.52","","","","","","","","","","","",""
"1197","","","","","","","","","","","","","638.29","638.29","638.29","","",""
"1198","","","","","","","644.56","644.56","644.56","","","","","","","","",""
"1206","","","","","","","","","","674.2","674.2","674.2","","","","","",""
"1208","","","","652.63","652.63","652.63","","","","","","","","","","","",""
"1212","","","","","","","652.02","652.02","652.02","","","","","","","","",""
"1213","578.79","578.79","578.79","","","","","","","","","","","","","","",""
"1218","","","","","","","","","","","","","","","","606.48","606.48","606.48"
"1220","","","","","","","","","","675.23","675.23","675.23","","","","","",""
"1225","","","","","","","","","","","","","640.25","640.25","640.25","","",""
"1226","","","","","","","660.94","660.94","660.94","","","","","","","","",""
"1232","","","","","","","","","","","","","","","","606.48","606.48","606.48"
"1234","","","","","","","","","","669.86","669.86","669.86","","","","","",""
"1235","","","","658.23","658.23","658.23","","","","","","","","","","","",""
"1239","","","","","","","","","","","","","645.94","645.94","645.94","","",""
"1240","586.04","586.04","586.04","","","","","","","","","","","","","","",""
"1246","","","","","","","","","","","","","","","","606.23","606.23","606.23"
"1247","","","","659.1","659.1","659.1","","","","","","","","","","","",""
"1253","","","","","","","653.88","653.88","653.88","","","","","","","","",""
